nomen;revenu;agglo9;loc_log;stat_log;nb_voit;nb_tv;jardin;micro_onde;frigo;congelo;four;soins;situ_fin;situ_alim;manq_alim;viande;jard_potager;jard_verger;jard_pelouse;jard_poules;nbpers;sexe_chef;age_chefq;nbadu;nbenf;agglo5;ech;cspc;reg;pcschef;up;jard_rien;sitalim_regime;sitalim_temps;sitalim_argent;sitalim_depl;sitalim_rhf;sitalim_place;sitalim_autre;chef_diplo;chef_situprof;chef_statempl;chef_typempl;chef_atrav;chef_nbsal;tage_chef;pond_men;selcuileg;selcuivp;selcuivps;selcuioeuf;saliere;selcrud;typesel;chori;chprix;chlabel;chsani;chhabit;chmarq;chpres;chprod;chgout;chetiq;chnut;claim;inscuisson;insconserv;stokcons;micronde;consopc;dlcoeuf;dlcjamb;dlcsaum;dlcfrom;dlcpl;dlcyao;dlclaif;dlccrem;dlcvian;dlcpcsv;csvjamb;csvcharc;csvpc;csventrf;csvfromc;csvvian;nreprill;nreppate;nrepjamb;nrepsaum;nrepsauc;temp;thermo;tempfrig;alimcru;reste;puits;traiteau;traiteauch;traitcirc;traitusag;systion;systcharb;autsyst;fqtrait;entrprof;entrindi;chfacil;chnouv;chpub;nrchoix;traitnsp;nrtrait;systmemb;systmeca;systuv;systaut;systnsp;nrsyst;entrnsp
110137;2;9;1;2;1;2;2;2;1;2;2;2;4;2;4;1;;;;;2;1;61;2;0;5;1;16;2;7;114001;;2;2;1;2;2;2;2;14;4;7;9;1;0;6;0.8845424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110147;5;9;1;4;3;2;2;1;1;1;1;2;1;1;4;1;;;;;1;1;21;1;0;5;1;15;2;8;114001;;;;;;;;;12;3;;;2;;2;0.8845626;3;4;6;2;4;2;2;2;1;2;2;2;2;2;2;1;2;2;4;1;1;1;3;1;1;1;1;1;1;3;1;1;1;1;6;6;6;6;6;6;5;5;3;3;3;6;1;;3;2;3;3;;;;;;;;;;1;2;2;;;;;;;;;;
110152;6;9;1;2;1;2;2;2;1;1;1;2;4;1;4;1;;;;;3;1;42;1;2;5;1;3;2;2;114001;;;;;;;;;10;1;7;9;;0;4;0.2948542;1;2;2;2;3;4;2;1;1;2;1;2;2;2;2;2;2;2;9;1;1;1;6;2;6;1;1;6;1;1;1;7;1;7;6;6;6;6;4;1;5;5;2;5;3;3;1;;3;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110167;10;9;1;1;2;2;2;2;1;1;1;2;2;1;4;1;;;;;2;1;51;2;0;5;1;2;2;2;114001;;;;;;;;;9;1;7;2;;2;5;0.8788483;1;1;3;2;2;4;1;2;2;2;1;2;2;2;1;2;2;1;1;2;1;1;4;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;2;3;3;3;3;3;5;9;;2;1;3;1;2;2;1;1;2;;1;2;1;2;2;2;;2;;2;2;2;2;2;;2
110174;6;9;1;4;1;2;2;1;1;1;1;1;3;2;4;1;;;;;1;2;41;1;0;5;1;10;2;5;114001;;1;2;2;2;2;2;2;4;1;3;2;;;4;0.8845349;3;3;3;4;1;3;2;2;1;2;2;2;2;1;2;2;1;2;2;2;1;1;3;3;1;2;1;2;7;3;1;3;1;2;2;2;1;2;3;1;3;3;2;2;1;5;1;;3;2;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110185;15;9;1;3;2;2;2;1;1;1;1;2;2;1;4;1;;;;;4;1;50;3;1;5;1;6;2;3;114001;;;;;;;;;8;1;3;1;;;5;0.6634219;1;2;2;1;1;4;2;1;2;1;2;2;2;1;2;2;2;2;2;2;1;2;3;2;4;2;2;2;2;2;2;7;2;7;2;6;6;6;3;2;5;5;2;2;5;6;2;6;2;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110194;15;9;1;2;1;2;2;1;1;1;1;2;2;1;4;1;;;;;2;1;56;2;0;5;1;11;2;6;114001;;;;;;;;;8;1;3;1;;;5;0.8845626;4;4;4;4;4;4;4;1;1;2;2;2;2;2;2;1;2;2;4;2;1;1;5;2;1;7;1;1;7;1;1;1;1;7;6;6;6;6;2;2;5;5;5;1;5;5;2;8;3;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110201;13;9;1;4;1;2;2;2;1;1;1;2;2;1;4;1;;;;;7;1;43;4;3;5;1;2;2;2;114001;;;;;;;;;7;1;7;9;;0;4;0.5054643;2;1;3;2;1;3;3;2;2;2;2;1;2;2;2;1;1;2;4;4;1;1;6;3;1;1;1;3;2;2;2;2;1;1;3;4;2;3;4;2;5;5;2;1;2;5;1;;2;1;3;1;2;2;1;1;2;;2;1;2;2;2;2;;2;;2;2;2;2;2;;2
110207;15;9;1;2;1;1;2;1;1;1;1;2;7;1;4;1;;;;;1;2;66;1;0;5;1;3;2;2;114001;;;;;;;;;12;1;7;9;;0;6;0.8845626;2;2;3;2;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;3;1;1;4;3;1;1;1;1;1;7;7;9;1;1;2;2;1;6;2;2;5;5;2;2;5;4;1;;3;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110208;14;9;1;4;3;2;2;2;1;2;1;2;2;1;3;1;;;;;1;2;24;1;0;5;1;15;2;8;114001;;;;;;;;;12;3;;;2;;2;0.8845625;1;1;1;1;1;1;2;2;1;2;2;2;2;1;2;1;2;2;4;1;2;1;6;1;2;1;1;1;1;1;1;2;1;1;6;6;6;6;6;2;3;3;3;2;3;4;1;;3;1;4;3;;;;;;;;;;2;2;2;;;;;;;;;;
110234;8;9;1;1;3;2;2;2;1;1;2;2;3;2;4;3;;;;;1;2;45;1;0;5;1;6;2;3;114001;;2;2;1;2;1;2;2;12;1;3;2;;;4;0.8845626;1;4;4;1;4;4;1;2;2;1;2;2;2;2;2;1;2;1;2;2;1;4;6;3;1;7;1;1;1;1;1;1;7;1;6;6;1;2;3;6;5;5;5;2;5;2;1;;3;2;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110237;11;9;1;2;1;2;2;1;1;2;1;2;1;1;4;1;;;;;1;1;39;1;0;5;1;6;2;3;114001;;;;;;;;;12;1;3;2;;;4;0.8845626;2;4;2;1;2;1;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;1;2;4;3;3;3;5;3;4;4;4;3;3;3;3;3;3;4;3;3;3;2;2;5;2;1;;1;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110238;14;9;1;2;1;2;2;1;1;1;1;2;1;1;4;1;;;;;5;1;38;2;3;5;1;9;2;4;114001;;;;;;;;;12;1;3;2;;;4;0.1935561;1;2;1;1;2;4;2;2;1;2;2;1;2;2;2;1;2;2;2;1;1;2;3;4;1;1;1;1;1;4;3;7;1;1;6;6;6;6;3;2;2;5;1;1;1;4;1;;2;1;3;1;2;2;1;1;2;;1;2;1;2;2;2;;2;;2;2;2;2;2;;2
110243;13;9;1;2;1;2;2;1;1;1;1;2;2;1;4;1;;;;;3;1;46;2;1;5;1;6;2;3;114001;;;;;;;;;12;1;3;2;;;4;0.5897083;2;2;3;1;1;3;3;1;2;1;2;2;2;2;2;2;2;1;2;2;1;2;3;3;1;1;1;1;1;1;1;1;1;1;2;3;3;2;3;2;5;5;2;2;5;4;2;98;2;2;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110244;13;9;1;2;1;3;2;1;1;1;1;2;1;1;4;1;;;;;2;1;67;2;0;5;1;16;2;7;114001;;;;;;;;;11;4;3;2;1;;6;0.8845626;1;4;2;2;2;1;2;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;4;2;1;1;1;1;7;2;1;2;7;7;2;6;6;6;3;2;5;5;2;1;2;4;1;;2;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110264;3;9;1;4;3;2;2;1;1;1;1;1;4;1;3;1;;;;;5;1;42;2;3;5;1;11;2;6;114001;;;;;;;;;2;1;3;2;;;4;0.3520818;1;1;4;1;4;1;5;2;2;2;2;2;1;2;2;1;2;2;4;1;4;4;1;1;1;7;1;1;7;1;1;1;7;7;6;6;6;6;2;1;5;5;5;1;5;16;1;;3;1;3;3;;;;;;;;;;1;2;2;;;;;;;;;;
110291;3;9;3;2;1;4;1;1;1;1;1;1;5;2;1;2;2;1;1;2;1;2;52;1;0;5;1;18;2;8;114001;2;2;2;1;2;2;2;2;7;6;3;2;1;;5;0.7851604;1;1;1;1;1;1;2;1;2;1;2;2;2;2;2;1;2;2;1;3;1;2;3;2;1;1;1;1;7;1;1;1;1;1;2;2;1;1;2;2;3;5;1;1;5;3;2;2;1;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110298;10;9;1;2;1;3;1;1;1;1;1;2;2;1;4;1;2;1;1;2;3;1;59;3;0;5;1;11;2;6;114001;2;;;;;;;;7;1;3;2;;;5;0.8845621;1;1;1;1;3;4;9;2;1;2;2;1;2;2;2;2;2;2;4;2;2;1;3;3;1;1;1;1;1;1;7;1;1;1;1;1;1;1;3;1;5;1;1;1;1;4;1;;2;2;3;3;;;;;;;;;;1;2;2;;;;;;;;;;
110300;8;9;2;2;1;3;1;1;1;1;1;2;4;1;2;1;2;2;1;2;2;1;56;2;0;5;1;9;2;4;114001;2;;;;;;;;6;2;3;2;1;;5;0.2461197;1;2;4;2;3;3;2;1;1;2;2;1;2;2;2;2;2;2;4;1;1;1;3;2;6;1;1;1;1;1;1;1;1;1;3;3;2;3;3;3;3;3;3;3;3;8;1;;3;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110305;12;9;2;2;2;3;1;1;1;1;1;2;4;1;4;1;1;1;1;2;8;1;50;3;5;5;1;9;2;4;114001;2;;;;;;;;10;1;1;2;;;5;0.3307289;4;2;3;2;1;4;2;2;1;2;2;2;2;2;2;1;1;2;4;3;1;2;4;3;1;2;1;4;1;5;1;1;2;1;1;6;6;6;3;2;3;5;1;1;1;4;9;;3;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110312;11;9;1;2;2;3;1;1;1;1;1;2;2;1;4;1;2;1;1;2;4;1;43;2;2;5;1;9;2;4;114001;2;;;;;;;;11;1;3;2;;;4;0.4408059;1;1;1;1;4;4;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;4;2;5;2;5;2;2;3;3;2;2;3;3;3;3;3;3;2;6;1;;2;2;3;3;;;;;;;;;;1;2;2;;;;;;;;;;
110330;12;9;1;1;2;3;1;1;1;2;1;2;2;1;4;1;2;2;1;2;4;1;40;2;2;5;1;6;2;3;114001;2;;;;;;;;12;1;3;2;;;4;0.4422812;4;4;4;4;1;4;2;2;2;2;2;1;1;2;2;1;2;2;1;3;1;2;3;3;1;1;1;3;7;3;2;7;1;7;3;3;6;6;4;2;5;5;2;1;5;4;2;4;1;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110341;12;9;1;2;1;3;2;1;1;1;1;2;2;1;4;1;;;;;4;1;38;2;2;5;1;6;2;3;114001;;;;;;;;;12;1;3;2;;;4;0.4420503;1;1;1;1;4;1;1;2;1;1;2;1;2;2;2;2;2;2;2;2;1;1;3;2;1;1;1;4;1;4;1;4;1;1;2;3;6;6;3;2;5;5;1;1;5;99;2;98;3;1;4;4;;;;;;;;;;2;2;2;;;;;;;;;;
110348;8;9;2;3;1;2;2;1;1;1;1;1;4;1;3;1;;;;;5;1;45;2;3;5;1;9;2;4;114001;;;;;;;;;10;1;3;2;;;4;0.3538248;4;4;4;4;2;2;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;1;5;3;1;1;1;3;1;4;7;4;1;7;2;2;6;6;3;2;5;2;3;2;2;5;1;;2;2;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110352;2;9;2;4;1;2;1;1;1;1;1;2;4;1;4;1;2;1;1;2;6;1;52;4;2;5;1;9;2;4;114001;2;;;;;;;;11;1;1;2;;;5;0.3225936;1;1;4;1;3;4;1;2;1;1;2;2;1;2;2;2;2;2;1;2;1;1;4;2;1;7;1;4;1;5;1;5;2;2;6;6;1;6;3;2;5;5;5;1;5;4;1;;2;1;3;4;;;;;;;;;;2;2;2;;;;;;;;;;
110361;14;9;2;4;1;3;2;1;1;1;1;2;3;1;4;1;;;;;4;2;50;3;1;5;1;10;2;5;114001;;;;;;;;;10;1;1;2;;;5;0.6634079;1;1;3;1;4;6;2;2;1;2;2;1;2;2;2;2;2;2;9;2;3;1;3;2;1;1;1;1;1;1;7;1;1;7;2;2;6;6;2;2;5;5;2;2;2;16;1;;3;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110362;13;9;2;2;2;4;1;1;1;1;1;2;1;1;4;1;2;1;1;2;4;1;50;2;2;5;1;6;2;3;114001;2;;;;;;;;11;1;3;2;;;5;0.4422813;1;1;1;1;1;4;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;3;7;3;2;2;2;3;2;3;4;2;3;2;3;1;5;6;1;;1;2;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110371;14;9;1;2;2;3;1;1;1;1;1;2;2;1;4;1;2;2;1;2;5;1;56;5;0;5;1;10;2;5;114001;2;;;;;;;;12;1;3;10;;;5;0.8845625;3;5;2;4;3;4;2;1;1;1;2;2;2;2;2;2;2;2;4;2;5;1;4;3;2;2;2;7;6;3;2;2;2;6;6;6;2;6;6;6;5;5;2;2;5;6;1;;3;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110372;12;9;2;1;2;3;1;1;1;1;1;2;1;1;4;1;2;2;1;2;2;1;33;2;0;5;1;10;2;5;114001;2;;;;;;;;10;1;1;2;;;4;0.2471211;1;2;3;2;4;4;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;3;2;1;3;1;3;3;3;1;3;1;3;2;2;6;6;4;2;3;3;1;1;5;4;2;5;1;1;3;3;;;;;;;;;;2;1;1;;;;;;;;;;
